date,5. adjusted close
2021-01-04,1726.13
2021-01-05,1740.05
2021-01-06,1722.88
2021-01-07,1774.34
2021-01-08,1797.83
2021-01-11,1756.29
2021-01-12,1737.43
2021-01-13,1747.25
2021-01-14,1730.92
2021-01-15,1727.62
2021-01-19,1784.47
2021-01-20,1880.07
2021-01-21,1884.15
2021-01-22,1892.56
2021-01-25,1894.28
2021-01-26,1907.95
2021-01-27,1818.94
2021-01-28,1853.2
2021-01-29,1827.36
2021-02-01,1893.07
2021-02-02,1919.12
2021-02-03,2058.88
2021-02-04,2053.63
2021-02-05,2088.83
2021-02-08,2084.52
2021-02-09,2075.39
2021-02-10,2086.48
2021-02-11,2088.75
2021-02-12,2095.03
2021-02-16,2110.7
2021-02-17,2118.62
2021-02-18,2105.81
2021-02-19,2088.81
2021-02-22,2054.26
2021-02-23,2060.12
2021-02-24,2083.81
2021-02-25,2015.95
2021-02-26,2021.91
2021-03-01,2069.66
2021-03-02,2064.48
2021-03-03,2011.41
2021-03-04,2033.93
2021-03-05,2097.07
