date,5. adjusted close
2021-01-04,217.191934957
2021-01-05,217.401454486
2021-01-06,211.764381435
2021-01-07,217.790562183
2021-01-08,219.117519202
2021-01-11,216.992392548
2021-01-12,214.438249714
2021-01-13,215.845023697
2021-01-14,212.532619709
2021-01-15,212.163466253
2021-01-19,215.944794901
2021-01-20,223.826720052
2021-01-21,224.45527864
2021-01-22,225.433036444
2021-01-25,229.004845563
2021-01-26,231.798439287
2021-01-27,232.367135153
2021-01-28,238.383338781
2021-01-29,231.429285831
2021-02-01,239.101691453
2021-02-02,238.962011767
2021-02-03,242.444026802
2021-02-04,241.456291878
2021-02-05,241.645857166
2021-02-08,241.915239418
2021-02-09,243.212265076
2021-02-10,242.264438634
2021-02-11,243.930617748
2021-02-12,244.42947377
2021-02-16,243.142425233
2021-02-17,244.2
2021-02-18,243.79
2021-02-19,240.97
2021-02-22,234.51
2021-02-23,233.27
2021-02-24,234.55
2021-02-25,228.99
2021-02-26,232.38
2021-03-01,236.94
2021-03-02,233.87
2021-03-03,227.56
2021-03-04,226.73
2021-03-05,231.6
